,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,wp_pop_density_log,wp_pop_density_log_minmax,count_cyclones_multiply_pop_density,boxcoxb,boxcoxb_log,boxcoxb_log_minmax
28793,177722,2023,4,33.25,120.75,CHN,1297.456512,188205.76072184223,145.05747127641857,33.5,120.5,5.0,4.984000183132458,0.54827446878286,2.7413723439143,1.1874280445958183,0.6002353479975244,0.6002353479975245
28795,177721,2023,4,33.25,120.25,CHN,2584.608,1747703.602115884,676.1967780475352,33.5,120.5,5.0,6.517961892491512,0.7170223607193772,3.585111803596886,1.5723975187837813,0.6544595495481966,0.6544595495481967
28796,178441,2023,4,33.75,120.25,CHN,2445.755136,915043.436118288,374.13534276159356,33.5,120.5,5.0,5.927286874887525,0.6520434479915712,3.260217239957856,1.4323657943599382,0.6347356260743596,0.6347356260743597
28807,179161,2023,4,34.25,120.25,CHN,1142.491264,301859.440061522,264.21159581096106,34.5,120.5,5.0,5.580527982133186,0.6138972336463742,3.0694861682318706,1.3456557784175531,0.6225222385302183,0.6225222385302184
28808,175582,2023,4,31.75,130.75,JPN,2289.54368,697209.1840657017,304.51883934605763,31.5,130.5,5.0,5.722011443964174,0.6294615308398391,3.147307654199196,1.381468249724258,0.6275665415006255,0.6275665415006256
28811,176302,2023,4,32.25,130.75,JPN,2547.000832,185857.11253335368,72.97096655732607,32.5,130.5,5.0,4.303672672397278,0.47343307439697985,2.3671653719848993,0.9902590749272168,0.5724634578407777,0.5724634578407778
28813,177022,2023,4,32.75,130.75,JPN,2318.448128,1211576.0010511307,522.5805945015004,32.5,130.5,5.0,6.2606909716634975,0.6887205294015446,3.4436026470077232,1.5125209968271935,0.6460257468380575,0.6460257468380576
28816,177742,2023,4,33.25,130.75,JPN,2584.608,807007.0757500898,312.23577260075405,33.5,130.5,11.0,5.746956174071946,0.6322056479810491,6.95426212779154,2.6750704776100935,0.8097746193728774,0.8097746193728776
28817,177743,2023,4,33.25,131.25,JPN,2584.292352,226442.01026409245,87.62244336978654,33.5,131.5,4.0,4.484385136704583,0.49331287140394214,1.9732514856157686,0.7580931229671598,0.5397621289916773,0.5397621289916774
28818,177746,2023,4,33.25,132.75,JPN,2564.545536,144203.42193864725,56.22962038083587,33.5,132.5,5.0,4.047071603179298,0.4452049320417948,2.226024660208974,0.9103465316273729,0.561207516409427,0.5612075164094271
28819,177744,2023,4,33.25,131.75,JPN,1307.329024,597024.5349539268,456.67504047850684,33.5,131.5,4.0,6.126159413680854,0.6739209964862204,2.6956839859448816,1.1643836445381799,0.5969894693574699,0.59698946935747
28820,178472,2023,4,33.75,135.75,JPN,2432.638464,85792.56940232367,35.26729132665875,33.5,135.5,6.0,3.5909162696860637,0.3950242460097129,2.3701454760582776,0.9919107809632622,0.5726961060038298,0.5726961060038299
28821,177747,2023,4,33.25,133.25,JPN,1340.291456,90419.23552330896,67.46236806818007,33.5,133.5,2.0,4.226284223041049,0.4649197343250454,0.9298394686500908,-0.07191459031188913,0.42285284513640436,0.4228528451364045
28822,178468,2023,4,33.75,133.75,JPN,2507.346432,417886.45274580526,166.66482437868612,33.5,133.5,2.0,5.121966893570186,0.563451895573722,1.126903791147444,0.12175508398217462,0.45013184816729646,0.45013184816729657
28823,178469,2023,4,33.75,134.25,JPN,2317.015552,40337.725840513485,17.4093461762459,33.5,134.5,2.0,2.912858480016061,0.3204325388505058,0.6408650777010116,-0.4151067354346684,0.3745131161565968,0.3745131161565969
28824,178471,2023,4,33.75,135.25,JPN,1159.243008,164608.0314326799,141.99613911553558,33.5,135.5,6.0,4.962817630703364,0.5459442208722144,3.2756653252332866,1.4392352146703202,0.6357032062499882,0.6357032062499883
28825,178467,2023,4,33.75,133.25,JPN,2388.627968,332646.30555851466,139.26250132499274,33.5,133.5,2.0,4.943515676437507,0.5438208535986079,1.0876417071972158,0.0851355386438874,0.4449738661966331,0.4449738661966332
28830,178466,2023,4,33.75,132.75,JPN,1865.638016,640572.2085136143,343.3528921580542,33.5,132.5,5.0,5.841666980846258,0.6426245840530909,3.2131229202654543,1.4112855462083738,0.6317664046135678,0.6317664046135679
28831,178462,2023,4,33.75,130.75,JPN,2127.206912,1956132.302826924,919.5778237612853,33.5,130.5,11.0,6.82500154219585,0.7507991449196705,8.258790594116375,3.0009142126202986,0.8556707684077758,0.855670768407776
28832,178463,2023,4,33.75,131.25,JPN,738.41312,361942.7962923968,490.163008333867,33.5,131.5,4.0,6.1967760652305275,0.681689385365759,2.726757541463036,1.1800853799166588,0.5992011098145578,0.5992011098145579
28833,179183,2023,4,34.25,131.25,JPN,2060.276352,348457.7842123587,169.1315749336712,34.5,131.5,5.0,5.136572107887848,0.5650585843928427,2.8252929219642136,1.2290803836616764,0.6061022153207793,0.6061022153207795
28834,179184,2023,4,34.25,131.75,JPN,2474.483712,350999.5956454359,141.847608025571,34.5,131.5,5.0,4.961778383878353,0.5458298955211627,2.729149477605813,1.1812889596395473,0.5993706379300373,0.5993706379300374
28835,179185,2023,4,34.25,132.25,JPN,1835.586688,1082820.5297470998,589.9043269522228,34.5,132.5,2.0,6.381654120972006,0.7020274302995742,1.4040548605991483,0.3582062011343584,0.48343675646005513,0.48343675646005524
28836,179186,2023,4,34.25,132.75,JPN,1572.565888,863271.8484566002,548.9575063557529,34.5,132.5,2.0,6.3098410140703605,0.6941274218905455,1.388254843781091,0.34563225226171956,0.48166567489730006,0.48166567489730017
28838,179191,2023,4,34.25,135.25,JPN,1601.121536,1383524.0999439703,864.0968651264023,34.5,135.5,5.0,6.762841483467363,0.7439610479782122,3.719805239891061,1.62790570392353,0.6622780578210374,0.6622780578210375
28840,179192,2023,4,34.25,135.75,JPN,2554.601984,555728.1885389404,217.54002855222882,34.5,135.5,5.0,5.386969194792489,0.5926042397403014,2.963021198701507,1.2956410157370037,0.6154774966638151,0.6154774966638152
28841,179912,2023,4,34.75,135.75,JPN,2537.919488,8067580.796698218,3178.8166783241227,34.5,135.5,5.0,8.064578825786747,0.8871624271464215,4.435812135732108,1.9019388444901946,0.7008765162494464,0.7008765162494465
28843,179915,2023,4,34.75,137.25,JPN,1528.291072,1572905.4454266182,1029.1923274590838,34.5,137.5,3.0,6.9375007894810405,0.7631749498097111,2.2895248494291334,0.9467164491118791,0.5663303374856204,0.5663303374856206
28846,179911,2023,4,34.75,135.25,JPN,1879.844608,5407914.94672175,2876.788285429255,34.5,135.5,5.0,7.964777321652207,0.8761834741960026,4.380917370980013,1.88205004862662,0.6980751147155158,0.6980751147155159
28849,180630,2023,4,35.25,134.75,JPN,2523.881984,184740.5628738365,73.19698941748794,35.5,134.5,6.0,4.3067235754618896,0.47376869780760006,2.8426121868456002,1.2375707278806578,0.6072981078967706,0.6072981078967707
28850,180629,2023,4,35.25,134.25,JPN,2523.881984,248014.45092511916,98.26705547144915,35.5,134.5,6.0,4.597813748344939,0.5057909137063108,3.0347454822378648,1.3294677634754928,0.6202421040162412,0.6202421040162414
28851,180627,2023,4,35.25,133.25,JPN,2320.055808,367045.4859874809,158.20545554199052,35.5,133.5,3.0,5.070195541302971,0.5577566383163256,1.673269914948977,0.5589601822592241,0.5117136071313361,0.5117136071313362
28852,180628,2023,4,35.25,133.75,JPN,2514.586624,189268.41704997185,75.268203228131,35.5,133.5,3.0,4.334256117856578,0.4767974947198109,1.4303924841594329,0.37895263947457974,0.48635895972407156,0.48635895972407167
28854,180632,2023,4,35.25,135.75,JPN,2396.03328,1063135.984927762,443.70668546296736,35.5,135.5,1.0,6.0974149310509755,0.6707588765851802,0.6707588765851802,-0.3752028122044731,0.3801337134272267,0.3801337134272268
28855,180631,2023,4,35.25,135.25,JPN,2507.726592,327678.5272879702,130.66756493044764,35.5,135.5,1.0,4.880280298466305,0.5368644630555168,0.5368644630555168,-0.5647590876676805,0.3534340959897849,0.353434095989785
28860,181351,2023,4,35.75,135.25,JPN,698.854912,93197.93373082465,133.35805777498013,35.5,135.5,1.0,4.900508309258398,0.5390897038541682,0.5390897038541682,-0.5613578641161632,0.35391316938064377,0.3539131693806438
28862,177734,2023,4,33.25,126.75,KOR,972.38688,264558.9705468974,272.071719588501,33.5,126.5,4.0,5.609734469798351,0.6171101777468013,2.4684407109872053,1.0456116289182145,0.5802600449605316,0.5802600449605317
28864,179893,2023,4,34.75,126.25,KOR,1126.037504,357157.2164666785,317.1805692065817,34.5,126.5,2.0,5.762619049320687,0.6339286878481877,1.2678573756963754,0.2464433629046827,0.46769459747764663,0.46769459747764675
28865,179905,2023,4,34.75,132.25,JPN,2380.91648,148304.193629683,62.28870053840906,34.5,132.5,2.0,4.147706806713722,0.45627559850460503,0.9125511970092101,-0.09020214396164455,0.42027698377216305,0.42027698377216316
28866,179904,2023,4,34.75,131.75,JPN,934.075904,63143.87899109674,67.60037243300597,34.5,131.5,5.0,4.228297963769667,0.4651412616948537,2.3257063084742686,0.967131581455509,0.5692058752233065,0.5692058752233066
28867,179906,2023,4,34.75,132.75,JPN,2539.325952,189241.6359361857,74.52435784667067,34.5,132.5,2.0,4.324455224709885,0.47571931913856347,0.9514386382771269,-0.049391052230114516,0.42602535867441044,0.42602535867441055
28868,180626,2023,4,35.25,132.75,JPN,2020.971392,231922.0092220248,114.75769035627438,35.5,132.5,2.0,4.751499130122409,0.522697518374587,1.045395036749174,0.044707333076016785,0.43927942205487785,0.43927942205487797
28870,179894,2023,4,34.75,126.75,KOR,2457.030656,122219.69811988686,49.74284623654564,34.5,126.5,2.0,3.926770647129738,0.4319708776273641,0.8639417552547282,-0.14292578243253173,0.41285068794712243,0.41285068794712254
28873,180617,2023,4,35.25,128.25,KOR,2478.807296,526322.6239027771,212.32897964762853,35.5,128.5,4.0,5.362835479575622,0.5899493406365003,2.359797362546001,0.9861692791771001,0.5718873968179572,0.5718873968179573
28877,180618,2023,4,35.25,128.75,KOR,2132.620416,2316824.458483653,1086.374509547813,35.5,128.5,4.0,6.991521362785242,0.7691176391289217,3.076470556515687,1.3488951165053558,0.6229785098274018,0.6229785098274019
28878,180619,2023,4,35.25,129.25,KOR,1178.642048,3157562.257782505,2678.9832105009928,35.5,129.5,2.0,7.893565808746843,0.8683496458735139,1.7366992917470279,0.6029889224403091,0.5179151982747306,0.5179151982747308
28879,181339,2023,4,35.75,129.25,KOR,2409.14176,1231726.5268402733,511.2719173654079,35.5,129.5,2.0,6.238855572666179,0.6863184632170309,1.3726369264340619,0.33310659845569146,0.4799013958516311,0.4799013958516312
28880,181338,2023,4,35.75,128.75,KOR,2508.204032,2524537.781070902,1006.5121293413589,35.5,128.5,4.0,6.915239332796864,0.7607260139177843,3.042904055671137,1.3332807389203594,0.6207791739994297,0.6207791739994298
28882,181337,2023,4,35.75,128.25,KOR,2508.204032,453858.0222810575,180.94940303527008,35.5,128.5,4.0,5.203728643125444,0.5724463331755942,2.289785332702377,0.9468642112553776,0.566351150263744,0.5663511502637442
28884,182055,2023,4,36.25,127.25,KOR,2491.618816,2055021.636804043,824.7736867323621,36.5,127.5,2.0,6.716320748972855,0.7388434001064366,1.4776868002128731,0.41555999389622167,0.4915152245645062,0.4915152245645063
28885,182056,2023,4,36.25,127.75,KOR,2492.310016,125506.15162165392,50.35735956439454,36.5,127.5,2.0,3.938808247709575,0.4332951086752629,0.8665902173505258,-0.1400015828781749,0.41326257095770214,0.41326257095770225
28886,182057,2023,4,36.25,128.25,KOR,2492.310016,671588.0450076406,269.46408781259765,36.5,128.5,3.0,5.600139327227369,0.6160546363523814,1.8481639090571442,0.6777660268068462,0.5284477964426753,0.5284477964426754
28890,182058,2023,4,36.25,128.75,KOR,2492.310016,88208.2132368462,35.392151325706585,36.5,128.5,3.0,3.5943531284725823,0.3954023275951723,1.1862069827855168,0.17544634053875374,0.45769443614436633,0.45769443614436645
28893,182778,2023,4,36.75,128.75,KOR,2476.33792,243615.5379191688,98.37734016493549,36.5,128.5,3.0,4.598924121526766,0.5059130635178432,1.5177391905535296,0.44593979247926757,0.49579431792615697,0.4957943179261571
28906,182041,2023,4,36.25,120.25,CHN,2015.064448,4878319.187701187,2420.9246471213546,36.5,120.5,5.0,7.79231781178816,0.8572115672987158,4.286057836493579,1.8472758591343625,0.6931770571129827,0.6931770571129828
28907,182042,2023,4,36.25,120.75,CHN,921.551552,348746.5473077458,378.4341164103924,36.5,120.5,5.0,5.938680975467641,0.6532968889618876,3.2664844448094383,1.4351553609097396,0.6351285455887042,0.6351285455887044
28921,182761,2023,4,36.75,120.25,CHN,2458.493184,1072203.7525890204,436.1223206014878,36.5,120.5,5.0,6.0802130657713604,0.6688665356710619,3.3443326783553093,1.4695045934665218,0.639966746625809,0.6399667466258091
