,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,count_cyclones_multiply_pop_density,count_cyclones_multiply_pop_density_log,boxcoxb,boxcoxb_log,count_cyclones_multiply_pop_density_log_minmax,boxcoxb_log_minmax
7144,154264,2023,4,17.25,-88.25,BLZ,1338.839168,51317.59089618684,38.329914542944444,17.5,-88.5,7.0,268.3094018006111,5.595860911204472,4.825653709778384,0.45379837350584235,0.46638895178214596,0.45379837350584235
7154,155694,2023,4,18.25,-93.25,MEX,2449.097728,693076.8712936366,282.9927378437536,18.5,-93.5,6.0,1697.9564270625217,7.437769475117354,6.826737759852709,0.6254117355964552,0.6359063144870749,0.6254117355964552
7155,154263,2023,4,17.25,-88.75,BLZ,2951.72992,59038.40373787263,20.001289189043632,17.5,-88.5,7.0,140.00902432330543,4.948823890623055,4.129188022201287,0.39406933902504854,0.40683984524647304,0.39406933902504854
7156,154982,2023,4,17.75,-89.25,GTM,2943.618048,11259.848291654647,3.8251730041215755,17.5,-89.5,6.0,22.951038024729453,3.176011664242537,2.2434484096158935,0.23234793860150849,0.24368166298108407,0.23234793860150849
7157,154984,2023,4,17.75,-88.25,BLZ,1668.3008,75745.56797568315,45.402824224314436,17.5,-88.5,7.0,317.81976957020106,5.764625957446946,5.007916305474915,0.46942924959507115,0.4819209961606273,0.46942924959507115
7158,154983,2023,4,17.75,-88.75,BLZ,2942.80064,23108.539992597987,7.852567271630737,17.5,-88.5,7.0,54.96797090141516,4.024779578921375,3.1416845122406585,0.3093808435996165,0.32179677752252667,0.3093808435996165
7159,154981,2023,4,17.75,-89.75,GTM,2943.618048,5193.646219527254,1.7643750428341085,17.5,-89.5,6.0,10.58625025700465,2.4498190723897717,1.4833032743228247,0.16715774214793022,0.1768475891304127,0.16715774214793022
7160,154980,2023,4,17.75,-90.25,GTM,2943.618048,10533.756782994968,3.5785066578702294,17.5,-90.5,6.0,21.471039947221378,3.1122273667115645,2.176344029616323,0.2265930537618114,0.23781136837945238,0.2265930537618114
7174,152087,2023,4,15.75,-96.75,MEX,1694.213504,81653.7231426542,48.19565122687996,15.5,-96.5,9.0,433.7608610419196,6.074796135192426,5.3435055640958495,0.498209450482333,0.510467055151436,0.498209450482333
7175,152088,2023,4,15.75,-96.25,MEX,1744.36352,115258.17015737516,66.0746276999505,15.5,-96.5,9.0,594.6716492995545,6.3896895912569285,5.684982635256894,0.5274945913321767,0.5394478141591994,0.5274945913321767
7176,152808,2023,4,16.25,-96.25,MEX,2967.264,63191.90919505315,21.296355563594325,16.5,-96.5,3.0,63.889066690782975,4.172679145585937,3.299120512322489,0.32288258596128167,0.3354084979832411,0.32288258596128167
7177,152810,2023,4,16.25,-95.25,MEX,2238.592,300416.6099432119,134.1989116119471,16.5,-95.5,8.0,1073.5912928955768,6.979695675614934,6.326781049444961,0.5825353496847041,0.5937481618310513,0.5825353496847041
7178,152809,2023,4,16.25,-95.75,MEX,2967.264,21298.64192992227,7.17787225198778,16.5,-95.5,8.0,57.42297801590224,4.067709271625826,3.1873562886918614,0.3132976641395387,0.3257477490482422,0.3132976641395387
7180,152807,2023,4,16.25,-96.75,MEX,2967.264,144151.8371994463,48.58072527400538,16.5,-96.5,3.0,145.74217582201615,4.98867714091216,4.171974341430198,0.397738702185523,0.41050768089075534,0.397738702185523
7181,153527,2023,4,16.75,-96.75,MEX,2959.620096,291302.8465003719,98.42575636449925,16.5,-96.5,3.0,295.27726909349775,5.691295735786211,4.928691801348143,0.4626349405241193,0.4751721563832127,0.4626349405241193
7182,153529,2023,4,16.75,-95.75,MEX,2959.620096,39914.92944551968,13.486504399488872,16.5,-95.5,8.0,107.89203519591098,4.690356888567281,3.852074462193046,0.37030402556300446,0.38305221246536136,0.37030402556300446
7183,153530,2023,4,16.75,-95.25,MEX,2955.504128,122661.73793662067,41.50281394451183,16.5,-95.5,8.0,332.0225115560946,5.808210089966067,5.055024922728,0.4734692938850356,0.48593219809821325,0.4734692938850356
7184,153528,2023,4,16.75,-96.25,MEX,2959.620096,104948.7572797866,35.46021241767734,16.5,-96.5,3.0,106.38063725303202,4.67637987953662,3.8371080554233123,0.36902050357197447,0.3817658588668162,0.36902050357197447
7186,154249,2023,4,17.25,-95.75,MEX,2951.72992,44458.488220494575,15.061841504962139,17.5,-95.5,3.0,45.18552451488642,3.832666426803435,2.9375678530416827,0.2918757587219778,0.30411592434337587,0.2918757587219778
7189,154250,2023,4,17.25,-95.25,MEX,2951.72992,62547.6341292622,21.190161642316582,17.5,-95.5,3.0,63.570484926949746,4.167757416706965,3.2938774083003937,0.32243293632812947,0.3349555338590397,0.32243293632812947
7215,155674,2023,4,18.25,-103.25,MEX,1553.968384,13013.720864625318,8.374508129391465,18.5,-103.5,4.0,33.49803251756586,3.540902293934777,2.628447539398265,0.2653655397669663,0.27726383879211686,0.2653655397669663
7218,157111,2023,4,19.25,-104.75,MEX,1607.48736,86909.62332655113,54.06550962027541,19.5,-104.5,3.0,162.19652886082622,5.09495517306868,4.28614781775982,0.40753024199304455,0.4202888242534695,0.40753024199304455
7221,156394,2023,4,18.75,-103.25,MEX,2926.727936,22445.23142916496,7.6690529218924155,18.5,-103.5,4.0,30.676211687569662,3.4555659792267592,2.5382439200033544,0.25762965960914497,0.2694100357881664,0.25762965960914497
7222,156393,2023,4,18.75,-103.75,MEX,1914.271232,185783.3109879344,97.05171758436289,18.5,-103.5,4.0,388.20687033745156,5.9641110026160975,5.223660380175588,0.48793150391524104,0.5002803107426228,0.48793150391524104
7229,157112,2023,4,19.25,-104.25,MEX,2698.530048,221766.13192820063,82.18034558946687,19.5,-104.5,3.0,246.5410367684006,5.511576373389445,4.734718912498078,0.44599978738862156,0.45863194752735553,0.44599978738862156
7230,157831,2023,4,19.75,-104.75,MEX,2908.908032,21278.339760241597,7.314889135773681,19.5,-104.5,3.0,21.94466740732104,3.1330855525280135,2.198281276851155,0.2284743964034874,0.23973102102654276,0.2284743964034874
7231,157832,2023,4,19.75,-104.25,MEX,2908.908032,127296.27443269247,43.76084531801811,19.5,-104.5,3.0,131.28253595405434,4.884940059036983,4.06063443581969,0.38819016996072153,0.4009603901735506,0.38819016996072153
