,index,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,ID,Severity,num_days,YEAR,num_days_multiply_pop_density,num_days_multiply_pop_density_log,boxcoxb,boxcoxb_log,num_days_multiply_pop_density_log_minmax,boxcoxb_log_minmax
13767,13767,91858,2023,4,-26.25,28.75,ZAF,2772.312064,195110.59464158973,70.37829441180462,-26.5,28.5,5156.0,1.5,6.0,2022.0,422.2697664708277,6.048009721566768,5.733246298933025,0.46711119510709354,0.4897167443963544,0.46711119510709354
14309,14309,101254,2023,4,-19.75,46.75,MDG,2909.208064,277342.8484642536,95.33276491847838,-19.5,46.5,5155.0,2.0,12.0,2022.0,1143.9931790217406,7.043153958784343,6.9542388429688184,0.5781143363070917,0.598775330824877,0.5781143363070917
14310,14310,101253,2023,4,-19.75,46.25,MDG,2909.208064,142963.58376417906,49.14175288226448,-19.5,46.5,5155.0,2.0,12.0,2022.0,589.7010345871737,6.381310025771235,6.1399184021374635,0.5040826582946518,0.5262433690536686,0.5040826582946518
14322,14322,101974,2023,4,-19.25,46.75,MDG,2902.819584,286965.36948812177,98.85745950931333,-19.5,46.5,5155.0,2.0,12.0,2022.0,1186.28951411176,7.079428268923625,6.999118952488352,0.5821944866392155,0.6027506590632447,0.5821944866392155
14323,14323,101973,2023,4,-19.25,46.25,MDG,2918.237952,198327.33027442492,67.96132924613028,-19.5,46.5,5155.0,2.0,12.0,2022.0,815.5359509535633,6.705070942002823,6.53717441066585,0.5401980834236783,0.5617245651903655,0.5401980834236783
14328,14328,102696,2023,4,-18.75,47.75,MDG,2926.149376,3044623.788118613,1040.4881627337036,-18.5,47.5,5147.0,1.5,2.0,2022.0,2080.976325467407,7.641072878057145,7.697138396958678,0.6456529830349252,0.6643017034812507,0.6456529830349252
14329,14329,102695,2023,4,-18.75,47.25,MDG,2926.96192,1349754.1710952583,461.1451081315258,-18.5,47.5,5147.0,1.5,2.0,2022.0,922.2902162630515,6.827943612234896,6.688493069205877,0.5539547984029473,0.5751902711906084,0.5539547984029473
14341,14341,103415,2023,4,-18.25,47.25,MDG,2935.547904,105539.0772658012,35.95208823606416,-18.5,47.5,5147.0,1.5,2.0,2022.0,71.90417647212831,4.289145927800579,3.6308103681363795,0.27597407995421963,0.2969615719353492,0.27597407995421963
14343,14343,103416,2023,4,-18.25,47.75,MDG,2935.547904,135610.92908765774,46.19612199237943,-18.5,47.5,5147.0,1.5,2.0,2022.0,92.39224398475886,4.536808300938309,3.9219319273933593,0.30244058681899777,0.32410307295177804,0.30244058681899777
15412,15412,108432,2023,4,-14.75,35.75,MWI,2892.017152,586540.6375641713,202.81367873580695,-14.5,35.5,5149.0,1.0,4.0,2022.0,811.2547149432278,6.699813979325501,6.5307071154327465,0.5396101272650194,0.5611484507970398,0.5396101272650194
15413,15413,108431,2023,4,-14.75,35.25,MWI,2709.197568,542980.4713908097,200.42114233538607,-14.5,35.5,5149.0,1.0,4.0,2022.0,801.6845693415443,6.687961821508812,6.5161282138296786,0.5382847269740093,0.5598495641339064,0.5382847269740093
15415,15415,109152,2023,4,-14.25,35.75,MOZ,2987.556096,315899.78803887847,105.73852938253866,-14.5,35.5,5149.0,1.0,4.0,2022.0,422.95411753015463,6.049625236004191,5.735211672791968,0.467289871605194,0.4898937898077742,0.467289871605194
15429,15429,109151,2023,4,-14.25,35.25,MWI,2289.13024,490585.2708551232,214.31077283532946,-14.5,35.5,5149.0,1.0,4.0,2022.0,857.2430913413178,6.754887382601141,6.598487659064623,0.5457722068715934,0.5671839854325441,0.5457722068715934
16337,16337,129991,2023,4,0.25,15.25,COG,3090.959872,24808.839176096822,8.026257280410537,0.5,15.5,5144.0,1.5,18.0,2021.0,144.47263104738965,4.979987966150921,4.447161400338412,0.3501903635334501,0.37267145732698315,0.3501903635334501
16338,16338,129992,2023,4,0.25,15.75,COG,3090.959872,18210.722649545565,5.891607592356853,0.5,15.5,5144.0,1.5,18.0,2021.0,106.04893666242336,4.67328608189363,4.083106096532582,0.31709328813330573,0.33905977300915335,0.31709328813330573
16340,16340,130711,2023,4,0.75,15.25,COG,3090.60608,12737.9292746755,4.121498807986393,0.5,15.5,5144.0,1.5,18.0,2021.0,74.18697854375507,4.319978058299443,3.666955245674321,0.2792600909659979,0.30034048771763566,0.2792600909659979
16343,16343,130712,2023,4,0.75,15.75,COG,3090.60608,8061.502413200427,2.608388841712376,0.5,15.5,5144.0,1.5,18.0,2021.0,46.95099915082277,3.870179638460064,3.142534045997978,0.23158379616772348,0.2510467491711291,0.23158379616772348
17078,17078,135811,2023,4,4.25,45.25,SOM,3082.355968,82793.8680237908,26.8605796615736,4.5,45.5,10220.0,3.0,12.0,4042.0,322.3269559388832,5.778664058734439,5.406380711255011,0.4373951193131209,0.4601989557677648,0.4373951193131209
17081,17081,136531,2023,4,4.75,45.25,SOM,3080.243968,151877.8267520614,49.307077078922276,4.5,45.5,10220.0,3.0,12.0,4042.0,591.6849249470673,6.3846629339285155,6.144021382988828,0.5044556693871516,0.5266108167164116,0.5044556693871516
17662,17662,142984,2023,4,9.25,31.75,SSD,3050.628096,61732.37240645236,20.235954847264466,9.5,31.5,5136.0,2.0,157.0,2021.0,3177.0449110205213,8.064021478847192,8.226510526831742,0.6937793778820349,0.7106529506763839,0.6937793778820349
17893,17893,142983,2023,4,9.25,31.25,SSD,3050.628096,66178.94459540551,21.69354720169912,9.5,31.5,5136.0,2.0,157.0,2021.0,3405.8869106667617,8.133554223880461,8.313833455259687,0.7017180990491974,0.7182730951742566,0.7017180990491974
17896,17896,143704,2023,4,9.75,31.75,SSD,3046.170112,140265.96396532393,46.046661482483856,9.5,31.5,5136.0,2.0,157.0,2021.0,7229.325852749966,8.886039383673857,9.263923553331018,0.7880928978340789,0.8007384954311707,0.7880928978340789
17898,17898,143703,2023,4,9.75,31.25,SSD,3046.170112,19445.133595737127,6.383469366709198,9.5,31.5,5136.0,2.0,157.0,2021.0,1002.2046905733441,6.910954845479114,6.790890381909703,0.5632639652902349,0.5842875330916724,0.5632639652902349
