,pgid,lat,lon,count_fire,wp_pop_density,wp_pop_density_log,wp_pop_density_log_minmax,count_fire_multiply_pop_density,boxcoxb,boxcoxb_log,boxcoxb_log_minmax
6342,112014.0,-12.25,26.75,112,13.896948074073403,2.701156364728053,0.2802494544965956,31.387938903618707,4.376573486267397,0.6255825096954022,0.6255825096954022
6343,112015.0,-12.25,27.25,87,9.26788338361287,2.329020905680363,0.24163978318737647,21.022661137301753,3.758187291446002,0.5911298372710682,0.5911298372710682
6344,112016.0,-12.25,27.75,70,125.60792383890757,4.841095097316262,0.5022716485077001,35.15901539553901,4.557709786699365,0.6356743094076205,0.6356743094076205
6345,112017.0,-12.25,28.25,84,34.0711583063836,3.557379092017941,0.3690839830651543,31.00305457747296,4.35704067609958,0.6244942617431126,0.6244942617431126
6346,112018.0,-12.25,28.75,82,7.857402901930236,2.1812535954541343,0.22630867958149578,18.557311725682656,3.572399996103153,0.5807789127506737,0.5807789127506737
6347,112019.0,-12.25,29.25,84,6.90701153550971,2.0677499019861334,0.21453248306317296,18.020728577306528,3.5291460760540585,0.5783690705662922,0.5783690705662922
6348,112020.0,-12.25,29.75,100,16.224920551355734,2.8463572044859347,0.2953142825331949,29.53142825331949,4.2803638845181435,0.6202223028846728,0.6202223028846728
6349,112021.0,-12.25,30.25,68,6.555769642658778,2.0223114624962366,0.20981816957636296,14.267635531192681,3.1908608037320505,0.5595218974390638,0.5595218974390638
6350,112022.0,-12.25,30.75,59,4.288158728706533,1.6654701188739536,0.1727952881179453,10.194921998958772,2.722137399365028,0.5334075144798196,0.5334075144798196
6351,112023.0,-12.25,31.25,18,10.620740166739296,2.45279144704914,0.25448118220976895,4.580661279775841,1.6875142755879398,0.47576468243627995,0.47576468243627995
6352,112024.0,-12.25,31.75,62,1.3930238336388638,0.872557768608717,0.09052931620786744,5.612817604887781,1.9399266750332993,0.48982754765991715,0.48982754765991715
6353,112025.0,-12.25,32.25,17,9.220594830682256,2.32440478569264,0.24116085307975924,4.099734502355907,1.552598534153698,0.4682480077701151,0.4682480077701151
6354,112026.0,-12.25,32.75,3,13.74649992894988,2.6910057616748513,0.2791963125883308,0.8375889377649923,-0.1751470387887874,0.37198865923408697,0.37198865923408697
6356,112028.0,-12.25,33.75,25,67.89505086982923,4.232584344813098,0.4391376483175654,10.978441207939134,2.8235979572702146,0.5390602722463593,0.5390602722463593
6357,112030.0,-12.25,34.75,5,29.62641261458725,3.421862793991715,0.3550239423014381,1.7751197115071904,0.5964295879611193,0.41497615959276657,0.41497615959276657
6358,112031.0,-12.25,35.25,34,9.803825177503262,2.379900254524299,0.24691860004701824,8.39523240159862,2.460712408747332,0.5188425231512415,0.5188425231512415
6359,112032.0,-12.25,35.75,21,1.9217488638230673,1.0721823629624192,0.11124069908160997,2.336054680713809,0.8983987896163053,0.4318000247986653,0.4318000247986653
6360,112033.0,-12.25,36.25,85,5.041645262011736,1.798676369226916,0.18661565760281706,15.86233089623945,3.343036058900105,0.5680001659730318,0.5680001659730318
6361,112034.0,-12.25,36.75,58,0.5456850031976829,0.43546717985675354,0.04518044242074551,2.6204656604032395,1.0280629756758601,0.4390241151242393,0.4390241151242393
6362,112035.0,-12.25,37.25,69,0.22032616646208888,0.1991181725727294,0.02065884077373081,1.4254600133874258,0.36301934963525256,0.4019719778227491,0.4019719778227491
6363,112036.0,-12.25,37.75,47,1.9403455169357657,1.0785270972125982,0.11189897578700815,5.259251861989383,1.8583620485737182,0.4852832687281458,0.4852832687281458
6364,112037.0,-12.25,38.25,39,1.1359043804537785,0.7588901543907746,0.07873611263976708,3.0707083929509165,1.2103097287773141,0.44917778242403467,0.44917778242403467
6365,112038.0,-12.25,38.75,18,1.6082839675530274,0.9586925214012517,0.09946593972160366,1.7903869149888658,0.6056808560973804,0.4154915833090097,0.4154915833090097
6366,112039.0,-12.25,39.25,6,4.836583300486562,1.7641455743443033,0.18303303034156246,1.0981981820493747,0.09425912848111591,0.386998312599208,0.386998312599208
6367,112040.0,-12.25,39.75,5,7.186338356435504,2.102466710765418,0.21813440957483443,1.0906720478741723,0.08729900762378427,0.3866105375066533,0.3866105375066533
6368,112041.0,-12.25,40.25,21,26.369655531411087,3.3094349373471945,0.34335936563853897,7.210546678409319,2.2606450407065033,0.507696000878214,0.507696000878214
6369,112059.0,-12.25,49.25,10,119.78336857983155,4.793998598703047,0.49738530863585717,4.973853086358572,1.7889806518478124,0.4814177643657291,0.4814177643657291
6370,112223.0,-12.25,131.25,47,2.173686048022452,1.1548937035454137,0.11982213789861085,5.63164048123471,1.9441428733564485,0.49006244827852724,0.49006244827852724
6371,112224.0,-12.25,131.75,16,0.10347773231954496,0.09846676737153733,0.010216090487118005,0.16345744779388807,-1.608806853563669,0.29211395895777104,0.29211395895777104
6372,112225.0,-12.25,132.25,26,0.005037764317284451,0.0050251172401715085,0.0005213642511514829,0.013555470529938557,-3.271897736493919,0.19945677178036092,0.19945677178036092
6373,112226.0,-12.25,132.75,133,0.014091004112112157,0.013992648786993394,0.0014517605277220413,0.19308415018703148,-1.4765547787215476,0.2994822305170838,0.2994822305170838
6374,112227.0,-12.25,133.25,58,0.48818425511504154,0.3975567561071842,0.04124717305719231,2.392336037317154,0.9251042265878271,0.4332878873668041,0.4332878873668041
6375,112228.0,-12.25,133.75,49,0.024354974424441008,0.024063121257821816,0.002496588755115973,0.12233284900068267,-1.832004639252384,0.27967875218800964,0.27967875218800964
6376,112229.0,-12.25,134.25,34,1.061016047066053,0.7231990879362605,0.07503310527784922,2.5511255794468735,0.9976184454228535,0.4373279332936884,0.4373279332936884
6377,112230.0,-12.25,134.75,59,1.005803927369596,0.6960449416766329,0.0722158175502846,4.260733235466791,1.5992237444517996,0.47084567749587625,0.47084567749587625
6378,112231.0,-12.25,135.25,40,0.042851891412860776,0.04195916345484999,0.0043533328254912315,0.17413331301964927,-1.5589205998028595,0.294893313952581,0.294893313952581
6379,112232.0,-12.25,135.75,26,1.5678088768236698,0.9430529581451423,0.09784330908521288,2.543926036215535,0.9944164558554447,0.43714953814419133,0.43714953814419133
6380,112233.0,-12.25,136.25,13,0.13812791315789466,0.12938473110800902,0.01342388052268822,0.17451044679494687,-1.5572073001387565,0.29498876846399535,0.29498876846399535
