,pgid,lat,lon,count_fire,wp_pop_density,count_fire_multiply_pop_density,count_fire_multiply_pop_density_log,boxcoxb,boxcoxb_log,count_fire_multiply_pop_density_log_minmax,boxcoxb_log_minmax
8740,118667.0,-7.75,113.25,1,865.5547344142465,865.5547344142465,6.764525274401603,4.144933201718645,0.5349371702007271,0.4482052529296181,0.5349371702007272
8741,118668.0,-7.75,113.75,37,537.0087971683878,19869.325495230347,9.896982716651266,5.903915288894033,0.7355885616284871,0.672321849872587,0.7355885616284872
8742,118669.0,-7.75,114.25,6,374.1393899206372,2244.836339523823,7.71683326511173,4.699559736917012,0.5982047764041627,0.5163396266774928,0.5982047764041628
8743,118693.0,-7.75,126.25,5,8.062899939561762,40.314499697808806,3.721213520623427,2.199797081345408,0.3130507326327197,0.23046672454805933,0.31305073263271976
8744,118703.0,-7.75,131.25,2,26.229549468908687,52.45909893781737,3.9789168556831567,2.378118034294102,0.3333922401391074,0.24890451517705553,0.33339224013910745
8745,118717.0,-7.75,138.25,52,3.253043015080784,169.15823678420077,5.1367288087332215,3.143852919877082,0.42074149251479775,0.3317419932917196,0.42074149251479787
8746,118718.0,-7.75,138.75,65,4.218382638781391,274.19487152079046,5.617479470423302,3.447514188853748,0.45538087661491117,0.3661380558919131,0.4553808766149113
8747,118719.0,-7.75,139.25,19,6.5686993604070345,124.80528784773365,4.834735377148714,2.949135042437836,0.3985295477037026,0.3101353980119314,0.3985295477037027
8748,118720.0,-7.75,139.75,7,4.658209942494264,32.60746959745985,3.5147483517102844,2.054486200529411,0.29647476483981067,0.21569484914443465,0.2964747648398107
8750,118722.0,-7.75,140.75,1,7.530976258655572,7.530976258655572,2.1437038049729225,1.0189438255288767,0.17834791184841545,0.11760130957145473,0.17834791184841547
8752,118724.0,-7.75,141.75,8,1.7150626766385857,13.720501413108686,2.6892411761111217,1.4479505002024462,0.22728575313324542,0.15663263924752507,0.22728575313324548
8753,118725.0,-7.75,142.25,1,1.318058121525492,1.318058121525492,0.840729818600405,-0.1629931364203066,0.04352147005341368,0.02437798535565886,0.04352147005341369
8757,118733.0,-7.75,146.25,1,9.981794250891577,9.981794250891577,2.396238833559302,1.2208442730757127,0.20137919000953336,0.13566932558096442,0.20137919000953342
8760,119001.0,-7.25,-79.75,2,74.17671296390228,148.35342592780455,5.006315483319712,3.0601602992280403,0.41119447045703905,0.3224113667065102,0.41119447045703916
8761,119002.0,-7.25,-79.25,3,49.43195972999529,148.29587918998587,5.005930103293409,3.0599121058554,0.41116615843162024,0.3223837940860941,0.41116615843162035
8762,119003.0,-7.25,-78.75,2,82.8541399821023,165.7082799642046,5.116245458374499,3.1307465275669375,0.41924641426880405,0.3302764797576904,0.41924641426880416
8763,119004.0,-7.25,-78.25,18,62.91090984621096,1132.3963772317973,7.032974047358254,4.303322059414087,0.5530049748219091,0.4674118428219781,0.5530049748219092
8764,119005.0,-7.25,-77.75,4,8.694067951592626,34.7762718063705,3.577284874953754,2.098739970679914,0.30152290070279814,0.22016912310740533,0.3015229007027982
8765,119006.0,-7.25,-77.25,3,0.579383126804257,1.738149380412771,1.007282283600353,0.007275061953650097,0.06294438013801522,0.036294243551155285,0.06294438013801523
8766,119007.0,-7.25,-76.75,39,23.50869874951748,916.8392512311818,6.822022267696061,4.178999682075955,0.5388232169857272,0.4523189657921789,0.5388232169857273
8767,119008.0,-7.25,-76.25,34,16.494176831438086,560.8020122688949,6.331149496488035,3.8855511863482772,0.5053488289237693,0.41719870093836536,0.5053488289237694
8768,119009.0,-7.25,-75.75,2,1.5071927875962388,3.0143855751924775,1.3898843033574424,0.37194727254621707,0.10454343165987402,0.0636681071174815,0.10454343165987405
8769,119010.0,-7.25,-75.25,7,4.63152377376828,32.42066641637796,3.509174463614096,2.050531461702585,0.2960236381034319,0.21529605654951867,0.29602363810343196
8770,119011.0,-7.25,-74.75,1,2.443732056697206,2.443732056697206,1.2365557835090577,0.2295899365985942,0.08830438195828859,0.05269797688706299,0.0883043819582886
8771,119013.0,-7.25,-73.75,6,0.2701091037292612,1.6206546223755673,0.9634241424327634,-0.036761492561350785,0.05792102259415962,0.033156343826118546,0.057921022594159634
8772,119014.0,-7.25,-73.25,20,1.3177577162696332,26.355154325392665,3.3089049690788435,1.9072714122057082,0.27968161365807903,0.2009674604187777,0.2796816136580791
8773,119015.0,-7.25,-72.75,106,0.9766818604372556,103.52827720634909,4.649457630076635,2.8280299550346837,0.3847147940040533,0.29687941004446744,0.3847147940040534
8774,119016.0,-7.25,-72.25,11,0.9867435353966685,10.854178889363354,2.472680454306557,1.280792114913087,0.20821758703782617,0.14113846162591454,0.20821758703782622
8775,119017.0,-7.25,-71.75,12,7.583516405067138,91.00219686080567,4.521812455685744,2.743828525413156,0.3751097308615987,0.2877468351801356,0.3751097308615988
8778,119020.0,-7.25,-70.25,8,3.3372496930117355,26.697997544093884,3.3213601197532494,1.916248837341236,0.28070569051367383,0.20185858377321186,0.2807056905136739
8779,119021.0,-7.25,-69.75,4,0.7393374479004364,2.9573497916017457,1.3755745566772792,0.35884990007959766,0.10304938232950539,0.06264429377342184,0.10304938232950542
8786,119030.0,-7.25,-65.25,3,0.719406125090452,2.158218375271356,1.150008063306976,0.14711479337639724,0.07889624053013342,0.046505784053652154,0.07889624053013343
8787,119031.0,-7.25,-64.75,52,11.566760875179385,601.471565509328,6.401040470075741,3.9277023158165,0.5101571114183523,0.4221991606241826,0.5101571114183524
8788,119032.0,-7.25,-64.25,133,0.08509979954553964,11.318273339556773,2.511083797273301,1.3107176502523143,0.21163126609050992,0.14388608922999752,0.21163126609050997
8789,119033.0,-7.25,-63.75,61,0.09397947635968583,5.732748057940835,1.906983389873111,0.8236949923221355,0.156075399613518,0.10066477496972834,0.15607539961351802
8790,119034.0,-7.25,-63.25,150,2.1084672130897766,316.2700819634665,5.759753404712379,3.5359985722585976,0.4654745067770699,0.3763172684029874,0.46547450677707003
8791,119035.0,-7.25,-62.75,49,0.8602713687713819,42.15329706979771,3.76475882410743,2.230159955430426,0.31651429998643166,0.23358224180874226,0.3165142999864317
8794,119038.0,-7.25,-61.25,51,0.027809224939130035,1.4182704718956318,0.883052603627497,-0.11891498558690076,0.048549572591108085,0.027406035609586217,0.0485495725911081
8795,119039.0,-7.25,-60.75,173,0.13510603959941497,23.37334485069879,3.1934901110172844,1.8236374034550353,0.27014127760300766,0.19270992278186228,0.2701412776030077
8796,119040.0,-7.25,-60.25,185,0.2513931681399239,46.507736105885925,3.8608925631665403,2.296854014052053,0.32412225447326987,0.2404602814458452,0.3241222544732699
8797,119041.0,-7.25,-59.75,627,5.985411832818049,3752.853219176917,8.230538116535715,4.990908180824868,0.6314396064155926,0.5530934486389345,0.6314396064155927
8798,119042.0,-7.25,-59.25,662,0.08152828371479007,53.97172381919103,4.006818940653044,2.39723284641355,0.3355727135371091,0.2509008137529665,0.33557271353710916
8803,119047.0,-7.25,-56.75,41,0.08499778177123421,3.4849090526206026,1.500718217182659,0.472180142875672,0.11597724047750642,0.07159789389043072,0.11597724047750645
8804,119048.0,-7.25,-56.25,68,0.03716733410264467,2.527378718979837,1.2605550225747038,0.2521771076828813,0.09088095584128753,0.05441504021123398,0.09088095584128754
8805,119049.0,-7.25,-55.75,293,0.050212138463874005,14.712156569915084,2.754434716551964,1.4975419475647975,0.23294277089864587,0.16129701368696583,0.23294277089864593
8806,119050.0,-7.25,-55.25,528,6.706957726121681,3541.2736793922477,8.172524082267007,4.958259657677268,0.6277153094796601,0.5489427432662549,0.6277153094796603
8807,119051.0,-7.25,-54.75,64,0.15403517944966688,9.85825148477868,2.3849252964582432,1.211927782846814,0.20036206414786326,0.13485988076607933,0.2003620641478633
8810,119055.0,-7.25,-52.75,170,0.5536901350827896,94.12732296407424,4.555216236005357,2.7659254396390187,0.37763037994495524,0.29013676120731435,0.37763037994495535
8811,119056.0,-7.25,-52.25,121,0.207446246137583,25.100995782647544,3.261973466192716,1.8733607746462846,0.2758133442424267,0.19760967219334405,0.27581334424242676
8812,119057.0,-7.25,-51.75,23,0.491343976746813,11.3009114651767,2.509673362492785,1.309620800877988,0.21150614579806926,0.14378517745416436,0.2115061457980693
8813,119058.0,-7.25,-51.25,13,0.18252276712801588,2.3727959726642065,1.215742065861107,0.20990372855782852,0.08605872802916922,0.05120882670545974,0.08605872802916924
8814,119059.0,-7.25,-50.75,286,1.0906126782315226,311.91522597421545,5.745932310322561,3.527429224485708,0.4644969803049159,0.3753284164559841,0.464496980304916
8815,119060.0,-7.25,-50.25,39,6.181007879609596,241.05930730477425,5.489182767638901,3.3671963682015473,0.4462188262519148,0.3569588664034221,0.4462188262519149
8816,119061.0,-7.25,-49.75,99,13.795168904759224,1365.7217215711632,7.220170247289369,4.412793341790734,0.5654926319108612,0.4808050895181206,0.5654926319108613
8817,119062.0,-7.25,-49.25,94,1.7448439438839174,164.01533072508823,5.106038383069773,3.1242101204792627,0.41850079031581294,0.329546198493153,0.41850079031581305
8818,119063.0,-7.25,-48.75,72,4.708817858544502,339.0348858152041,5.829048217685475,3.578878388779803,0.470365912387097,0.38127507483951356,0.47036591238709713
8819,119064.0,-7.25,-48.25,67,66.636094951714,4464.618361764838,8.404162974598407,5.088245871833728,0.642543155042774,0.5655157123252276,0.6425431550427742
8820,119065.0,-7.25,-47.75,86,4.494039593370764,386.4874050298857,5.95968334511648,3.6593392964025218,0.47954428503099605,0.3906215705990925,0.47954428503099616
8821,119066.0,-7.25,-47.25,68,8.055099833131417,547.7467886529363,6.307637112259157,3.87134237584742,0.5037279951368212,0.4155164704096061,0.5037279951368213
8822,119067.0,-7.25,-46.75,112,6.099684041755346,683.1646126765987,6.528198550476036,4.004070349263288,0.5188685998885426,0.43129688558246576,0.5188685998885427
8823,119068.0,-7.25,-46.25,174,4.419733070548742,769.033554275481,6.646434090879425,4.074715849539637,0.5269273049952685,0.4397562333761551,0.5269273049952686
8824,119069.0,-7.25,-45.75,304,2.1619102756345794,657.2207237929122,6.489540321569509,3.9808965081769103,0.5162251031226521,0.4285310217627323,0.5162251031226522
8825,119070.0,-7.25,-45.25,219,9.363615705437251,2050.631839490758,7.626390774740935,4.64772410273919,0.59229175875654,0.5098687763835483,0.5922917587565402
8826,119071.0,-7.25,-44.75,356,8.468146035973541,3014.6599888065807,8.011573986965852,4.8673482547448295,0.6173448232603626,0.5374273154267515,0.6173448232603627
8827,119072.0,-7.25,-44.25,211,2.132140020430268,449.8815443107865,6.111204653808217,3.7520635323481937,0.4901215655486457,0.4014624010634799,0.49012156554864583
8828,119073.0,-7.25,-43.75,190,4.4630972228394015,847.9884723394863,6.7440456082915885,4.132780089363937,0.5335508349322049,0.4467400029909602,0.533550834932205
8829,119074.0,-7.25,-43.25,99,0.8132263995887812,80.50941355928934,4.400718517371729,2.663346380447438,0.3659289356220098,0.2790829788099536,0.36592893562200984
8830,119075.0,-7.25,-42.75,144,3.6067960133250736,519.3786259188106,6.254556673386729,3.8392119027660443,0.5000627934397629,0.41171874688306254,0.500062793439763
8831,119076.0,-7.25,-42.25,102,12.010350937020787,1225.0557955761203,7.111557625718444,4.3493730513854345,0.5582581241763278,0.4730342285949316,0.5582581241763279
8832,119077.0,-7.25,-41.75,56,11.411348523307836,639.0355173052388,6.461523670603319,3.964078233682028,0.514306601391784,0.42652652638233474,0.5143066013917841
8833,119078.0,-7.25,-41.25,86,41.40983430810174,3561.24575049675,8.178146453748456,4.96142652058522,0.62807656128181,0.5493450046812629,0.6280765612818101
8834,119079.0,-7.25,-40.75,18,22.072610694563988,397.3069925021518,5.987223045901314,3.676239808608819,0.4814721678188651,0.3925919418282358,0.4814721678188652
8835,119080.0,-7.25,-40.25,39,27.012452006511587,1053.485628253952,6.960808370858626,4.260908076157428,0.548166707952399,0.46224863593685334,0.5481667079523991
8836,119081.0,-7.25,-39.75,73,19.17733107476606,1399.9451684579224,7.244902408139228,4.4271982275720365,0.5671358324849033,0.48257459088466936,0.5671358324849034
8837,119082.0,-7.25,-39.25,34,187.76307719163958,6383.944624515746,8.761698095682867,5.286977402794331,0.6652129471336345,0.5910961251807312,0.6652129471336347
8838,119083.0,-7.25,-38.75,57,49.97806169914116,2848.749516851046,7.954986380576052,4.835266961680885,0.6136852316482506,0.5333786660812964,0.6136852316482507
8839,119084.0,-7.25,-38.25,133,29.848663542459565,3969.8722511471224,8.286741060164797,5.022477573256515,0.6350408042698077,0.5571145766818684,0.6350408042698078
8840,119085.0,-7.25,-37.75,114,21.404828393411044,2440.150436848859,7.800224697682349,4.747207281320836,0.6036400484017849,0.5223059979455742,0.603640048401785
8841,119086.0,-7.25,-37.25,22,73.67249222227497,1620.7948288900493,7.391288734004973,4.512185793492952,0.5768305721189344,0.4930480309223586,0.5768305721189345
8842,119087.0,-7.25,-36.75,1,23.384453918674048,23.384453918674048,3.1939457947621572,1.8239692162803485,0.2701791283040342,0.19274252539245346,0.27017912830403423
8844,119089.0,-7.25,-35.75,4,223.75972436660552,895.0388974664221,6.797983824383559,4.164766687723823,0.5371996244876792,0.45059909753847477,0.5371996244876793
8845,119090.0,-7.25,-35.25,69,98.86550333304004,6821.719729979763,8.828013458730013,5.323592288716816,0.6693896967781481,0.5958407621838409,0.6693896967781482
8846,119091.0,-7.25,-34.75,21,1045.570767268697,21956.986112642637,9.996886184343555,5.95725115133162,0.7416727139851986,0.6794696006767984,0.7416727139851987
8847,119187.0,-7.25,13.25,183,2.8368889935987607,519.1506858285732,6.254118550036795,3.8389463901802037,0.5000325057693091,0.41168740065856035,0.5000325057693092
8848,119188.0,-7.25,13.75,96,2.2737962622756163,218.28444117845916,5.390369705248293,3.304986292215686,0.4391223706379554,0.3498891303623822,0.4391223706379555
8849,119189.0,-7.25,14.25,159,2.608678248363734,414.7798414898337,6.030155892983227,3.702544469708281,0.4844728048856805,0.39566363993186937,0.4844728048856806
8850,119190.0,-7.25,14.75,219,11.628382336980604,2546.615731798752,7.8429131936228895,4.7715444060387995,0.6064162437784257,0.5253602135622872,0.6064162437784258
8851,119191.0,-7.25,15.25,80,20.713157522122458,1657.0526017697966,7.413399061229252,4.524982243238753,0.5782902944580934,0.494629949076446,0.5782902944580935
8852,119192.0,-7.25,15.75,266,7.385855237939758,1964.6374932919757,7.583571895756417,4.6231246464539515,0.5894856385760181,0.5068052323067831,0.5894856385760182
8853,119193.0,-7.25,16.25,427,7.4446750213901245,3178.8762341335832,8.064597554933037,4.89735284616599,0.6207675204337859,0.5412209700348873,0.620767520433786
8854,119194.0,-7.25,16.75,888,4.678808091849877,4154.78158556269,8.332255796834906,5.0480005120662295,0.6379522683619285,0.5603710001389527,0.6379522683619286
8855,119195.0,-7.25,17.25,823,19.039368543709593,15669.400311472995,9.659528881384517,5.776550240351932,0.7210597188417621,0.6553328415709067,0.7210597188417622
8856,119196.0,-7.25,17.75,365,24.117450264067486,8802.869346384632,9.082946602280058,5.463656519175111,0.685367166324666,0.6140803551021015,0.6853671663246661
8857,119197.0,-7.25,18.25,767,18.601484686722287,14267.338754715995,9.565798288467475,5.726040425201954,0.7152979406153124,0.6486267388061304,0.7152979406153125
8858,119198.0,-7.25,18.75,1131,37.76731776619415,42714.83639356558,10.662325006186844,6.308887310319394,0.7817847111974674,0.7270794683205708,0.7817847111974676
8859,119199.0,-7.25,19.25,862,14.821358523555853,12776.011047305145,9.455402823215286,5.666376424939809,0.7084919220901494,0.6407283215262815,0.7084919220901496
8860,119200.0,-7.25,19.75,1308,6.120309971606023,8005.365442860678,8.98799218463376,5.41161419587003,0.6794305711424681,0.607286691871259,0.6794305711424682
8861,119201.0,-7.25,20.25,1377,9.404282649259514,12949.697208030351,9.468904904136389,5.673683893070084,0.7093255028632818,0.6416943491526657,0.7093255028632819
8862,119202.0,-7.25,20.75,625,88.81243305447255,55507.770659045345,10.924296317141827,6.445662288819812,0.7973869677233887,0.7458226180010827,0.7973869677233889
8863,119203.0,-7.25,21.25,404,84.50662188932819,34140.675243288584,10.438274064953822,6.191180748400713,0.7683576356170178,0.7110493911633368,0.768357635617018
8864,119204.0,-7.25,21.75,214,80.3311530897694,17190.86676121065,9.7521916882464,5.826353191972831,0.7267408634155478,0.6619625479020976,0.7267408634155479
8865,119205.0,-7.25,22.25,147,100.42035091154318,14761.791583996848,9.59986521197842,5.7444140815580695,0.7173938685615658,0.6510641104564556,0.717393868561566
8866,119206.0,-7.25,22.75,387,85.48263323085455,33081.77906034071,10.406768155897375,6.174573836729862,0.7664632445607534,0.7087952513221728,0.7664632445607537
8867,119207.0,-7.25,23.25,385,83.93510995329683,32315.01733201928,10.383318278928806,6.162204380295524,0.7650522303936106,0.7071174929737138,0.7650522303936108
8868,119208.0,-7.25,23.75,236,130.08441660824778,30699.922319546477,10.332047976105978,6.13513344642779,0.7619641827168248,0.7034492784792702,0.761964182716825
8869,119209.0,-7.25,24.25,653,52.47747456633743,34267.79089181834,10.4419903324201,6.193138706791149,0.7685809847223116,0.7113152773671327,0.7685809847223118
8870,119210.0,-7.25,24.75,893,17.273889840525232,15425.583627589032,9.64384750979803,5.7681091765126515,0.7200968260318631,0.6542108931645342,0.7200968260318632
8871,119211.0,-7.25,25.25,914,75.7113883582311,69200.20895942322,11.14477361196505,6.560079964029342,0.8104388719480577,0.7615970130024352,0.810438871948058
8872,119212.0,-7.25,25.75,500,180.00244491873391,90001.22245936695,11.407589643000478,6.695665011613579,0.8259053901422614,0.7804005995103547,0.8259053901422616
8873,119213.0,-7.25,26.25,1016,24.43453224907862,24825.48476506388,10.119666296392298,6.0226012712474,0.7491273620948499,0.6882540970001956,0.74912736209485
